Date,Open,High,Low,Close,Volume,Adj Close
1990-07-23,8.75,9.00,8.50,8.625,8700,53.906249
1990-07-20,8.375,8.875,8.375,8.75,11900,54.687499
1990-07-19,8.875,8.875,8.50,8.50,4200,53.124999
1990-07-18,8.875,9.00,8.75,8.75,3200,54.687499
1990-07-17,9.125,9.125,8.75,8.875,3200,55.468749
1990-07-16,9.25,9.25,9.00,9.00,900,56.249999
1990-07-13,8.875,9.25,8.75,9.00,3400,56.249999
1990-07-12,8.875,9.125,8.875,9.00,2100,56.249999
1990-07-11,9.125,9.25,8.875,8.875,1900,55.468749
1990-07-10,9.25,9.375,8.875,9.00,5300,56.249999
1990-07-09,8.25,9.625,8.00,9.25,16500,57.812499
1990-07-06,9.25,9.625,9.125,9.625,2900,60.156249
1990-07-05,9.375,9.375,9.00,9.25,6300,57.812499
1990-07-03,9.25,9.50,9.125,9.375,4000,58.593749
1990-07-02,8.875,9.50,8.875,9.50,7300,59.374999
1990-06-29,8.875,8.875,8.625,8.625,6900,53.906249
1990-06-28,8.75,9.00,8.25,8.625,15200,53.906249
1990-06-27,9.25,9.25,8.875,9.00,5600,56.249999
1990-06-26,9.125,9.375,9.00,9.00,3100,56.249999
1990-06-25,9.375,9.50,9.00,9.00,4100,56.249999
1990-06-22,9.375,9.625,9.125,9.375,7000,58.593749
1990-06-21,8.50,9.375,8.375,9.125,10900,57.031249
1990-06-20,8.625,9.00,8.25,8.75,15300,54.687499
1990-06-19,9.375,9.50,8.125,8.625,29200,53.906249
1990-06-18,9.875,10.125,9.125,9.375,15100,58.593749
1990-06-15,10.00,10.25,9.875,10.00,2900,62.499999
1990-06-14,10.125,10.25,9.875,9.875,4400,61.718749
1990-06-13,10.125,10.25,9.875,10.125,6400,63.281249
1990-06-12,10.25,10.25,9.75,10.00,7300,62.499999
1990-06-11,10.125,10.375,9.75,10.00,13300,62.499999
1990-06-08,10.50,10.50,10.00,10.125,8500,63.281249
1990-06-07,10.125,10.875,10.125,10.50,10000,65.624999
1990-06-06,11.375,11.50,9.50,10.125,15700,63.281249
1990-06-05,11.75,12.00,11.00,11.375,9100,71.093748
1990-06-04,11.875,12.00,11.625,11.75,6900,73.437498
1990-06-01,11.375,11.75,11.375,11.625,7100,72.656248
1990-05-31,11.375,11.75,11.25,11.625,11100,72.656248
1990-05-30,12.00,12.00,11.50,11.50,4900,71.874998
1990-05-29,11.50,12.125,11.50,12.00,13100,74.999998
1990-05-25,12.125,12.125,11.375,11.50,10000,71.874998
1990-05-24,12.00,12.75,11.875,12.125,8100,75.781248
1990-05-23,12.00,12.00,11.625,12.00,9300,74.999998
1990-05-22,12.125,12.125,11.875,12.00,2900,74.999998
1990-05-21,12.125,12.25,12.00,12.125,2600,75.781248
1990-05-18,12.00,12.375,12.00,12.125,5500,75.781248
1990-05-17,12.375,12.375,12.00,12.00,2800,74.999998
1990-05-16,12.25,12.50,12.125,12.375,1300,77.343748
1990-05-15,12.375,12.50,12.25,12.25,2400,76.562498
1990-05-14,12.375,12.625,12.375,12.625,4000,78.906248
1990-05-11,12.375,12.50,12.25,12.50,1200,78.124998
1990-05-10,12.00,12.375,12.00,12.25,3500,76.562498
1990-05-09,12.125,12.125,11.875,12.00,3700,74.999998
1990-05-08,12.125,12.125,11.875,11.875,900,74.218748
1990-05-07,12.50,12.50,11.875,11.875,2800,74.218748
1990-05-04,12.50,12.50,12.25,12.25,1900,76.562498
1990-05-03,12.125,12.50,12.125,12.125,700,75.781248
1990-05-02,12.75,12.75,12.125,12.50,4700,78.124998
1990-05-01,13.00,13.00,12.75,12.875,3700,80.468748
1990-04-30,12.75,13.00,12.75,12.75,1300,79.687498
1990-04-27,12.875,13.00,12.625,13.00,2600,81.249998
1990-04-26,12.625,13.00,12.625,12.875,8000,80.468748
1990-04-25,12.50,12.75,12.50,12.625,3600,78.906248
1990-04-24,13.00,13.00,12.375,12.375,3700,77.343748
1990-04-23,13.00,13.00,12.625,12.875,8100,80.468748
1990-04-20,12.75,13.25,12.375,13.25,11600,82.812498
1990-04-19,11.625,12.75,11.625,12.625,15900,78.906248
1990-04-18,12.00,12.00,11.625,11.625,5400,72.656248
1990-04-17,11.875,12.00,11.75,12.00,1600,74.999998
1990-04-16,12.125,12.25,12.00,12.25,1500,76.562498
1990-04-12,12.125,12.25,11.875,12.00,3600,74.999998
1990-04-11,12.00,12.125,11.75,12.125,800,75.781248
1990-04-10,12.00,12.25,11.875,12.00,4500,74.999998
1990-04-09,12.125,12.375,12.00,12.00,3000,74.999998
1990-04-06,12.00,12.25,11.875,12.25,2400,76.562498
1990-04-05,12.00,12.25,12.00,12.125,800,75.781248
1990-04-04,12.00,12.125,11.875,12.125,4500,75.781248
1990-04-03,11.875,12.125,11.875,12.125,5900,75.781248
1990-04-02,12.50,12.50,11.75,12.00,10200,74.999998
1990-03-30,12.625,12.625,12.375,12.50,3600,78.124998
1990-03-29,13.00,13.00,12.625,12.75,2300,79.687498
1990-03-28,12.75,13.00,12.75,12.875,1300,80.468748
1990-03-27,13.00,13.125,12.625,13.125,3200,82.031248
1990-03-26,13.375,13.625,13.00,13.00,10300,81.249998
1990-03-23,12.625,13.375,12.625,13.25,9000,82.812498
1990-03-22,12.625,12.625,12.375,12.50,6800,78.124998
1990-03-21,12.50,12.625,12.375,12.625,6400,78.906248
1990-03-20,13.125,13.625,12.625,12.875,10000,80.468748
1990-03-19,13.25,13.50,13.00,13.375,8000,83.593748
1990-03-16,13.125,13.875,13.125,13.50,16800,84.374998
1990-03-15,12.125,13.25,11.875,13.25,15600,82.812498
1990-03-14,11.75,12.125,11.75,12.125,2700,75.781248
1990-03-13,11.75,12.00,11.75,12.00,600,74.999998
1990-03-12,12.125,12.125,11.625,11.875,8100,74.218748
1990-03-09,12.875,12.875,12.125,12.25,5400,76.562498
1990-03-08,12.625,13.00,12.625,12.625,9100,78.906248
1990-03-07,12.125,12.75,12.125,12.375,4900,77.343748
1990-03-06,12.125,12.375,12.00,12.375,1100,77.343748
1990-03-05,11.875,12.125,11.875,11.875,1000,74.218748
1990-03-02,12.375,12.375,11.75,11.875,6500,74.218748
1990-03-01,12.50,12.625,12.25,12.25,1600,76.562498
1990-02-28,12.50,12.75,12.375,12.625,2000,78.906248
1990-02-27,12.00,12.50,12.00,12.50,4000,78.124998
1990-02-26,12.25,12.375,12.00,12.00,1700,74.999998
1990-02-23,12.00,12.25,12.00,12.125,2800,75.781248
1990-02-22,12.50,12.50,12.00,12.25,3600,76.562498
1990-02-21,12.375,12.375,12.125,12.25,2200,76.562498
1990-02-20,12.25,12.75,12.25,12.75,4700,79.687498
1990-02-16,13.375,13.375,12.25,12.50,7000,78.124998
1990-02-15,13.25,13.375,13.00,13.25,8800,82.812498
1990-02-14,13.50,13.625,13.00,13.125,6400,82.031248
1990-02-13,13.75,13.75,13.25,13.625,7600,85.156248
1990-02-12,13.75,14.00,13.50,13.50,5900,84.374998
1990-02-09,13.00,13.75,12.875,13.75,14800,85.937498
1990-02-08,12.625,13.125,12.625,12.875,8700,80.468748
1990-02-07,11.875,12.625,11.625,12.625,11700,78.906248
1990-02-06,11.75,12.00,11.625,11.625,1900,72.656248
1990-02-05,11.75,12.00,11.625,11.75,1500,73.437498
1990-02-02,11.75,12.125,11.625,12.00,4500,74.999998
1990-02-01,11.375,11.75,11.375,11.50,2800,71.874998
1990-01-31,11.625,11.875,11.375,11.75,4600,73.437498
1990-01-30,12.00,12.125,11.50,11.625,8400,72.656248
1990-01-29,11.625,12.125,11.50,12.00,7500,74.999998
1990-01-26,11.75,11.875,11.25,11.625,9800,72.656248
1990-01-25,12.00,12.125,11.625,11.625,5800,72.656248
1990-01-24,11.75,12.00,11.625,12.00,6100,74.999998
1990-01-23,12.00,12.375,12.00,12.25,2600,76.562498
1990-01-22,12.25,12.375,12.00,12.00,2400,74.999998
1990-01-19,11.875,12.25,11.875,12.25,3400,76.562498
1990-01-18,12.00,12.125,11.75,11.875,5800,74.218748
1990-01-17,12.25,12.50,12.00,12.25,5500,76.562498
1990-01-16,12.00,12.375,12.00,12.375,3700,77.343748
1990-01-15,12.25,12.50,12.125,12.25,3100,76.562498
1990-01-12,12.25,12.75,12.25,12.50,7400,78.124998
1990-01-11,13.125,13.50,12.625,12.75,8000,79.687498
1990-01-10,13.50,13.50,13.125,13.375,4200,83.593748
1990-01-09,13.375,13.75,13.375,13.50,4300,84.374998
1990-01-08,13.625,13.625,13.375,13.50,1600,84.374998
1990-01-05,14.00,14.125,13.50,13.625,16700,85.156248
1990-01-04,14.00,14.25,13.75,13.875,10800,86.718748
1990-01-03,13.625,13.875,13.125,13.875,15200,86.718748
1990-01-02,13.625,14.125,13.625,13.625,13500,85.156248
1989-12-29,13.00,13.75,13.00,13.75,20800,85.937498
